transaction_id,customer_id,transaction_date,amount,currency,category,status,merchant
TXN001,C001,2024-01-05,250.00,EUR,SHOPPING,SUCCESS,Amazon
TXN002,C002,2024-01-06,1500.00,EUR,TRANSFER,SUCCESS,BNP Paribas
TXN003,C001,2024-01-07,45.50,EUR,FOOD,SUCCESS,Carrefour
TXN004,C003,2024-01-08,3200.00,EUR,TRANSFER,FAILED,Societe Generale
TXN005,C002,2024-01-09,89.99,EUR,SHOPPING,SUCCESS,Fnac
TXN006,C004,2024-01-10,500.00,EUR,WITHDRAWAL,SUCCESS,ATM Paris
TXN007,C001,2024-01-11,12.00,EUR,FOOD,SUCCESS,McDo
TXN008,C003,2024-01-12,4500.00,EUR,TRANSFER,SUCCESS,Credit Agricole
TXN009,C005,2024-01-13,199.99,EUR,SHOPPING,PENDING,Apple Store
TXN010,C004,2024-01-14,75.00,EUR,FOOD,SUCCESS,Monoprix
TXN011,C002,2024-01-15,2000.00,EUR,TRANSFER,SUCCESS,LCL
TXN012,C001,2024-01-16,350.00,EUR,SHOPPING,SUCCESS,Zara
TXN013,C005,2024-01-17,620.00,EUR,WITHDRAWAL,SUCCESS,ATM Lyon
TXN014,C003,2024-01-18,88.00,EUR,FOOD,FAILED,Uber Eats
TXN015,C004,2024-01-19,1100.00,EUR,TRANSFER,SUCCESS,BNP Paribas
